"County","Count","Population","Age Adjusted Rate per 10,000","Lower CI","Upper CI"
"State Total","2285","7218292","3.28","3.14","3.42"
"Adams","**","21699","**","**","**"
"Asotin","**","21996","**","**","**"
"Benton","65","190951","3.4","2.62","4.37"
"Chelan","10","75759","1.28 (NR)","0.6 (NR)","2.48 (NR)"
"Clallam","19","74521","2.67","1.52","4.44"
"Clark","96","463829","2.07 (NR)","1.67 (NR)","2.54 (NR)"
"Columbia","0","3760","0 (NR)","0 (NR)","0 (NR)"
"Cowlitz","26","107892","2.5 (NR)","1.61 (NR)","3.74 (NR)"
"Douglas","**","39200","**","**","**"
"Ferry","**","6341","**","**","**"
"Franklin","20","87922","1.88","1.14","3.16"
"Garfield","0","2236","0 (NR)","0 (NR)","0 (NR)"
"Grant","31","92952","3.26","2.19","4.71"
"Grays Harbor","16","75985","2.13 (NR)","1.19 (NR)","3.6 (NR)"
"Island","17","83797","2.55 (NR)","1.46 (NR)","4.19 (NR)"
"Jefferson","**","30285","**","**","**"
"King","803","2123649","4.08","3.8","4.38"
"Kitsap","61","264514","2.44","1.85","3.17"
"Kittitas","**","42687","**","**","**"
"Klickitat","**","21770","**","**","**"
"Lewis","19","79110","2.58","1.53","4.15"
"Lincoln","**","10890","**","**","**"
"Mason","15","60715","2.42 (NR)","1.29 (NR)","4.23 (NR)"
"Okanogan","10","42156","2.41 (NR)","1.12 (NR)","4.69 (NR)"
"Pacific","**","21651","**","**","**"
"Pend Oreille","**","12288","**","**","**"
"Pierce","303","848123","3.66","3.26","4.11"
"San Juan","**","16459","**","**","**"
"Skagit","34","123396","2.52","1.72","3.61"
"Skamania","**","7712","**","**","**"
"Snohomish","258","768997","3.49","3.07","3.96"
"Spokane","178","500621","3.7","3.16","4.3"
"Stevens","13","47507","3.6 (NR)","1.89 (NR)","6.32 (NR)"
"Thurston","67","273812","2.59","2","3.3"
"Wahkiakum","**","3929","**","**","**"
"Walla Walla","19","60908","3.5","2.07","5.59"
"Whatcom","41","210360","1.87","1.33","2.59"
"Whitman","10","46502","3.4 (NR)","1.62 (NR)","6.5 (NR)"
"Yakima","87","251409","3.38","2.7","4.2"


"Asthma Hospitalizations:  Age-Adjusted Rate per 10,000"
"Geography: County, Age Group: All (Combined), Time Period: 2016"
"Created: 6/16/2026"

"""**"" indicates data suppression to protect confidentiality."

"""--"" indicates no data collected."

"""NR"" indicates data are not reliable."
