"County","Count","Population","Age Adjusted Rate per 10,000","Lower CI","Upper CI"
"State Total","3769","6968170","5.36","5.19","5.54"
"Adams","**","21286","**","**","**"
"Asotin","0","22016","0 (NR)","--","--"
"Benton","130","186185","6.74","5.62","8.05"
"Chelan","28","74316","3.93","2.59","5.78"
"Clallam","27","73360","3.49","2.21","5.38"
"Clark","252","442912","5.58 (NR)","4.9 (NR)","6.33 (NR)"
"Columbia","**","3882","**","**","**"
"Cowlitz","72","106389","6.67 (NR)","5.17 (NR)","8.5 (NR)"
"Douglas","14","38524","3.61 (NR)","1.96 (NR)","6.24 (NR)"
"Ferry","**","6723","**","**","**"
"Franklin","29","85865","3.56","2.31","5.4"
"Garfield","**","2255","**","**","**"
"Grant","42","91951","4.27","3.06","5.86"
"Grays Harbor","28","75916","3.91","2.57","5.76"
"Island","28","80063","3.52 (NR)","2.28 (NR)","5.29 (NR)"
"Jefferson","10","29401","3.33 (NR)","1.27 (NR)","7.6 (NR)"
"King","1076","2029208","5.62","5.29","5.98"
"Kitsap","85","255726","3.18","2.52","3.99"
"Kittitas","**","42052","**","**","**"
"Klickitat","**","21272","**","**","**"
"Lewis","43","77275","4.95","3.52","6.86"
"Lincoln","10","10972","6.82 (NR)","3.06 (NR)","14.63 (NR)"
"Mason","30","60353","4.52","2.96","6.71"
"Okanogan","**","42737","**","**","**"
"Pacific","**","20705","**","**","**"
"Pend Oreille","**","12454","**","**","**"
"Pierce","624","813450","7.34","6.77","7.96"
"San Juan","**","15952","**","**","**"
"Skagit","43","121157","3.47","2.49","4.76"
"Skamania","**","7981","**","**","**"
"Snohomish","344","737691","4.85","4.34","5.4"
"Spokane","304","482409","6.35","5.64","7.13"
"Stevens","49","47115","8.95","6.42","12.33"
"Thurston","111","262665","4.1","3.35","4.97"
"Wahkiakum","**","3824","**","**","**"
"Walla Walla","25","60256","3.75","2.39","5.74"
"Whatcom","103","205792","5.03","4.07","6.15"
"Whitman","17","46746","5.08","2.87","8.65"
"Yakima","182","249335","7.27","6.24","8.45"


"Asthma Hospitalizations:  Age-Adjusted Rate per 10,000"
"Geography: County, Age Group: All (Combined), Time Period: 2014"
"Created: 6/16/2026"

"""**"" indicates data suppression to protect confidentiality."

"""--"" indicates no data collected."

"""NR"" indicates data are not reliable."
