"County","# of Fires","Acres Burned","Percent Area Burned"
"State Total","45","295661","0.69"
"Adams","1","60","0"
"Asotin","0","0","0"
"Benton","3","63772","5.66"
"Chelan","4","4916","0.26"
"Clallam","0","0","0"
"Clark","0","0","0"
"Columbia","2","7770","1.39"
"Cowlitz","0","0","0"
"Douglas","1","183","0.02"
"Ferry","1","1893","0.13"
"Franklin","1","8465","1.05"
"Garfield","1","3453","0.75"
"Grant","6","19828","1.11"
"Grays Harbor","0","0","0"
"Island","0","0","0"
"Jefferson","3","3032","0.22"
"King","0","0","0"
"Kitsap","0","0","0"
"Kittitas","1","901","0.06"
"Klickitat","1","2548","0.21"
"Lewis","0","0","0"
"Lincoln","3","14018","0.94"
"Mason","0","0","0"
"Okanogan","2","6858","0.2"
"Pacific","0","0","0"
"Pend Oreille","0","0","0"
"Pierce","0","0","0"
"San Juan","0","0","0"
"Skagit","0","0","0"
"Skamania","0","0","0"
"Snohomish","2","349","0.02"
"Spokane","2","6211","0.54"
"Stevens","2","18702","1.15"
"Thurston","0","0","0"
"Wahkiakum","0","0","0"
"Walla Walla","1","1493","0.18"
"Whatcom","0","0","0"
"Whitman","1","4450","0.32"
"Yakima","7","126760","4.59"


"Wildfires"
"Geography: County, Year: 2016"
"Created: 6/16/2026"

"""**"" indicates data suppression to protect confidentiality."

"""--"" indicates no data collected."

"""NR"" indicates data are not reliable."
