"County","# of Fires","Acres Burned","Percent Area Burned"
"State Total","55","436266","1.02"
"Adams","0","0","0"
"Asotin","2","151","0.04"
"Benton","0","0","0"
"Chelan","11","53807","2.81"
"Clallam","0","0","0"
"Clark","0","0","0"
"Columbia","0","0","0"
"Cowlitz","0","0","0"
"Douglas","9","7493","0.63"
"Ferry","4","25506","1.76"
"Franklin","0","0","0"
"Garfield","0","0","0"
"Grant","3","1300","0.07"
"Grays Harbor","0","0","0"
"Island","0","0","0"
"Jefferson","0","0","0"
"King","0","0","0"
"Kitsap","0","0","0"
"Kittitas","6","42750","2.86"
"Klickitat","3","2369","0.19"
"Lewis","1","59","0"
"Lincoln","2","2757","0.18"
"Mason","1","168","0.02"
"Okanogan","9","271933","7.99"
"Pacific","0","0","0"
"Pend Oreille","0","0","0"
"Pierce","0","0","0"
"San Juan","0","0","0"
"Skagit","0","0","0"
"Skamania","0","0","0"
"Snohomish","0","0","0"
"Spokane","1","8698","0.76"
"Stevens","1","1016","0.06"
"Thurston","0","0","0"
"Wahkiakum","0","0","0"
"Walla Walla","1","11402","1.37"
"Whatcom","0","0","0"
"Whitman","0","0","0"
"Yakima","1","6857","0.25"


"Wildfires"
"Geography: County, Year: 2014"
"Created: 6/16/2026"

"""**"" indicates data suppression to protect confidentiality."

"""--"" indicates no data collected."

"""NR"" indicates data are not reliable."
